                                                                      Probability
Types                                 thermophilic protein        non-thermophilic protein
non-thermophilic protein             0.0612363             0.938764
non-thermophilic protein             0.326371             0.673629
non-thermophilic protein             0.384692             0.615308
non-thermophilic protein             0.104077             0.895923
non-thermophilic protein             0.170154             0.829846
non-thermophilic protein             0.228906             0.771094
thermophilic protein                   0.93146             0.0685402 
thermophilic protein                   0.99534             0.00465962
non-thermophilic protein             0.447339             0.552661
non-thermophilic protein             9.62888e-006             0.99999
non-thermophilic protein             0.334176             0.665824
non-thermophilic protein             0.367328             0.632672
thermophilic protein                   0.679857             0.320143
non-thermophilic protein             0.271148             0.728852
thermophilic protein                   0.837541             0.162459
non-thermophilic protein             0.00800634             0.991994
non-thermophilic protein             0.075262             0.924738
non-thermophilic protein             0.00575278             0.994247
non-thermophilic protein             0.0468592             0.953141
non-thermophilic protein             1.36564e-005             0.999986
non-thermophilic protein             1.03331e-005             0.99999
non-thermophilic protein             0.00374718             0.996253
non-thermophilic protein             1.38923e-005             0.999986
non-thermophilic protein             1.09938e-006             0.999999
thermophilic protein                   0.876824             0.123176
non-thermophilic protein             0.0466322             0.953368
non-thermophilic protein             0.0342811             0.965719
non-thermophilic protein             0.0951502             0.90485
non-thermophilic protein             0.0177754             0.982225
non-thermophilic protein             0.401875             0.598125
non-thermophilic protein             0.0750499             0.92495
non-thermophilic protein             0.0337754             0.966225
non-thermophilic protein             0.00844245             0.991558
non-thermophilic protein             0.00697068             0.993029
thermophilic protein                   0.823723             0.176277
non-thermophilic protein             0.0707267             0.929273
non-thermophilic protein             0.322039             0.677961
non-thermophilic protein             0.0595539             0.940446
non-thermophilic protein             0.00409785             0.995902
thermophilic protein                   0.548434             0.451566
non-thermophilic protein             0.108339             0.891661
non-thermophilic protein             0.00317077             0.996829
non-thermophilic protein             0.219171             0.780829
non-thermophilic protein             0.0176231             0.982377
non-thermophilic protein             0.00537048             0.99463
non-thermophilic protein             5.38402e-007             0.999999
non-thermophilic protein             0.063586             0.936414
non-thermophilic protein             0.0265798             0.97342
non-thermophilic protein             0.00405285             0.995947
non-thermophilic protein             0.302408             0.697592
non-thermophilic protein             0.0217722             0.978228
non-thermophilic protein             0.0357203             0.96428
non-thermophilic protein             0.0291733             0.970827
non-thermophilic protein             0.00584364             0.994156
non-thermophilic protein             0.0125768             0.987423
non-thermophilic protein             0.00411145             0.995889
non-thermophilic protein             0.00463104             0.995369
non-thermophilic protein             0.415324             0.584676
non-thermophilic protein             6.42789e-006             0.999994
non-thermophilic protein             4.97636e-007             1
thermophilic protein                   0.687082             0.312918
non-thermophilic protein             0.16098             0.83902
non-thermophilic protein             1.69984e-008             1
non-thermophilic protein             0.13441             0.86559
non-thermophilic protein             1.3235e-005             0.999987
thermophilic protein                   0.525004             0.474996
non-thermophilic protein             5.47888e-006             0.999995
non-thermophilic protein             1.81024e-005             0.999982
non-thermophilic protein             0.151187             0.848813
non-thermophilic protein             0.136544             0.863456
non-thermophilic protein             0.00563898             0.994361
non-thermophilic protein             0.0288693             0.971131
non-thermophilic protein             0.024484             0.975516
non-thermophilic protein             5.67325e-006             0.999994 
non-thermophilic protein             8.15506e-006             0.999992
non-thermophilic protein             0.144579             0.855421
non-thermophilic protein             0.0106032             0.989397
non-thermophilic protein             0.478246             0.521754
non-thermophilic protein             0.00990296             0.990097
non-thermophilic protein             0.189773             0.810227
thermophilic protein                   0.869793             0.130207
non-thermophilic protein             1.18774e-005             0.999988
non-thermophilic protein             0.352984             0.647016
non-thermophilic protein             0.00606298             0.993937
non-thermophilic protein             0.0144831             0.985517
non-thermophilic protein             0.0083737             0.991626
thermophilic protein                   0.9143             0.0856996
non-thermophilic protein             0.057365             0.942635
thermophilic protein                   0.994601             0.00539857
non-thermophilic protein             0.0967775             0.903223
non-thermophilic protein             0.013504             0.986496
thermophilic protein                   0.79907             0.20093
non-thermophilic protein             0.0111797             0.98882
non-thermophilic protein             0.0440755             0.955925
non-thermophilic protein             0.135746             0.864254
non-thermophilic protein             1.29266e-006             0.999999
non-thermophilic protein             0.162459             0.837541
non-thermophilic protein             0.227768             0.772232
non-thermophilic protein             0.0536784             0.946322
non-thermophilic protein             0.182144             0.817856
non-thermophilic protein             0.108653             0.891347
non-thermophilic protein             0.00970016             0.9903
thermophilic protein                   0.73432             0.26568
non-thermophilic protein             0.36758             0.63242
thermophilic protein                   0.830031             0.169969
non-thermophilic protein             0.00416924             0.995831
non-thermophilic protein             0.0055129             0.994487
non-thermophilic protein             0.0890478             0.910952
non-thermophilic protein             0.0345093             0.965491
non-thermophilic protein             0.018528             0.981472
thermophilic protein                   0.986946             0.0130538
non-thermophilic protein             0.0250196             0.97498
non-thermophilic protein             1.21907e-005             0.999988
non-thermophilic protein             0.0884907             0.911509
non-thermophilic protein             0.043602             0.956398
thermophilic protein                   0.85692             0.14308
non-thermophilic protein             0.0138139             0.986186
non-thermophilic protein             0.184848             0.815152
non-thermophilic protein             0.0164819             0.983518
non-thermophilic protein             0.0459931             0.954007
thermophilic protein                   0.868938             0.131062
thermophilic protein                   0.964552             0.0354484
thermophilic protein                   0.531808             0.468192
non-thermophilic protein             0.00466815             0.995332
non-thermophilic protein             1.36583e-005             0.999986
non-thermophilic protein             0.00259956             0.9974
non-thermophilic protein             0.078254             0.921746
non-thermophilic protein             0.394934             0.605066
thermophilic protein                   0.817377             0.182623
non-thermophilic protein             0.0241891             0.975811
thermophilic protein                   0.505462             0.494538
non-thermophilic protein             0.232661             0.767339
non-thermophilic protein             0.196726             0.803274
non-thermophilic protein             0.101373             0.898627
non-thermophilic protein             0.0923356             0.907664
thermophilic protein                   0.583428             0.416572
non-thermophilic protein             0.00715669             0.992843
non-thermophilic protein             0.00799274             0.992007
non-thermophilic protein             0.0205797             0.97942
thermophilic protein                   0.537408             0.462592
non-thermophilic protein             0.13104             0.86896 
non-thermophilic protein             0.390821             0.609179
non-thermophilic protein             1.03632e-006             0.999999
non-thermophilic protein             0.00525464             0.994745
non-thermophilic protein             0.0822969             0.917703
non-thermophilic protein             7.29323e-006             0.999993
non-thermophilic protein             0.0618438             0.938156
non-thermophilic protein             0.186169             0.813831
non-thermophilic protein             0.0117532             0.988247
thermophilic protein                   0.999737             0.000263487
thermophilic protein                   0.5             0.5
non-thermophilic protein             0.449617             0.550383
non-thermophilic protein             0.120492             0.879508
non-thermophilic protein             0.0499494             0.950051
non-thermophilic protein             0.215124             0.784876
non-thermophilic protein             0.180926             0.819074
non-thermophilic protein             0.0690898             0.93091
non-thermophilic protein             0.0259514             0.974049
non-thermophilic protein             0.277456             0.722544
non-thermophilic protein             0.0792872             0.920713
non-thermophilic protein             0.00569773             0.994302
non-thermophilic protein             0.0247274             0.975273
non-thermophilic protein             0.00645732             0.993543
non-thermophilic protein             0.0158008             0.984199
non-thermophilic protein             0.429006             0.570994
non-thermophilic protein             0.390929             0.609071
non-thermophilic protein             0.0287252             0.971275
thermophilic protein                   0.631655             0.368345
non-thermophilic protein             0.310791             0.689209
non-thermophilic protein             0.0530338             0.946966
non-thermophilic protein             0.0110044             0.988996
non-thermophilic protein             0.0155507             0.984449
non-thermophilic protein             0.00377525             0.996225
thermophilic protein                   0.997327             0.00267299
non-thermophilic protein             0.00295559             0.997044
non-thermophilic protein             0.0161929             0.983807
non-thermophilic protein             0.0407302             0.95927
non-thermophilic protein             0.159145             0.840855
non-thermophilic protein             0.341351             0.658649
non-thermophilic protein             9.7324e-006             0.99999
non-thermophilic protein             0.00748287             0.992517
non-thermophilic protein             1.37885e-005             0.999986
non-thermophilic protein             2.93009e-007             1
non-thermophilic protein             0.00364076             0.996359
non-thermophilic protein             0.100642             0.899358
non-thermophilic protein             0.432912             0.567088
non-thermophilic protein             0.0815025             0.918498
thermophilic protein                   0.50907             0.49093
non-thermophilic protein             0.0408059             0.959194
non-thermophilic protein             0.056463             0.943537
non-thermophilic protein             0.0712321             0.928768
non-thermophilic protein             0.0330195             0.96698
non-thermophilic protein             0.0685492             0.931451
non-thermophilic protein             0.441102             0.558898
non-thermophilic protein             0.00663656             0.993363
non-thermophilic protein             0.0904665             0.909534
thermophilic protein                   0.750169             0.249831
non-thermophilic protein             0.00285715             0.997143
thermophilic protein                   0.625634             0.374366
non-thermophilic protein             0.0650097             0.93499
non-thermophilic protein             0.353801             0.646199
non-thermophilic protein             0.239951             0.760049
non-thermophilic protein             0.00694574             0.993054
non-thermophilic protein             0.0193234             0.980677
non-thermophilic protein             0.18749             0.81251
non-thermophilic protein             3.49268e-006             0.999997
thermophilic protein                   0.850807             0.149193
non-thermophilic protein             0.464945             0.535055 
non-thermophilic protein             0.00870967             0.99129
non-thermophilic protein             0.0296634             0.970337
thermophilic protein                   0.719882             0.280118
thermophilic protein                   0.973975             0.0260253
non-thermophilic protein             0.156391             0.843609
non-thermophilic protein             4.66886e-007             1
non-thermophilic protein             0.0129798             0.98702
non-thermophilic protein             0.134227             0.865773
non-thermophilic protein             0.00514626             0.994854
non-thermophilic protein             0.0327564             0.967244
non-thermophilic protein             0.301882             0.698118
non-thermophilic protein             0.0825518             0.917448
non-thermophilic protein             0.00649788             0.993502
non-thermophilic protein             0.00542524             0.994575
non-thermophilic protein             0.0148574             0.985143
non-thermophilic protein             0.00485305             0.995147
thermophilic protein                   0.840453             0.159547
non-thermophilic protein             0.00947491             0.990525
non-thermophilic protein             0.00438649             0.995614
non-thermophilic protein             0.0982591             0.901741
non-thermophilic protein             0.0255399             0.97446
non-thermophilic protein             0.0751062             0.924894
non-thermophilic protein             0.063202             0.936798
non-thermophilic protein             0.0512422             0.948758
non-thermophilic protein             0.0328377             0.967162
non-thermophilic protein             0.00541057             0.994589
non-thermophilic protein             6.40472e-006             0.999994
thermophilic protein                   0.75849             0.24151
thermophilic protein                   0.841247             0.158753
non-thermophilic protein             0.0253629             0.974637
non-thermophilic protein             0.0288905             0.97111
non-thermophilic protein             0.247111             0.752889
non-thermophilic protein             0.00900789             0.990992
non-thermophilic protein             0.0153391             0.984661
non-thermophilic protein             0.086569             0.913431
non-thermophilic protein             0.0615566             0.938443
non-thermophilic protein             0.0614393             0.938561
non-thermophilic protein             0.485135             0.514865
non-thermophilic protein             0.0821671             0.917833
non-thermophilic protein             1.91451e-005             0.999981
non-thermophilic protein             0.313495             0.686505
non-thermophilic protein             0.00973462             0.990265
non-thermophilic protein             0.0475445             0.952455
non-thermophilic protein             0.0142012             0.985799
non-thermophilic protein             0.0545243             0.945476
non-thermophilic protein             0.0681997             0.9318
non-thermophilic protein             0.00282566             0.997174
non-thermophilic protein             1.00718e-005             0.99999
non-thermophilic protein             0.0152379             0.984762
non-thermophilic protein             3.64119e-007             1
non-thermophilic protein             0.472178             0.527822
non-thermophilic protein             3.13226e-006             0.999997
non-thermophilic protein             0.0536695             0.94633
non-thermophilic protein             6.92817e-006             0.999993
thermophilic protein                   0.635985             0.364015
non-thermophilic protein             0.00896217             0.991038
non-thermophilic protein             0.00501547             0.994985
non-thermophilic protein             0.372317             0.627683
non-thermophilic protein             0.149723             0.850277
non-thermophilic protein             1.39107e-006             0.999999
non-thermophilic protein             0.246959             0.753041
non-thermophilic protein             5.6782e-006             0.999994
thermophilic protein                   0.987198             0.0128018
non-thermophilic protein             0.119639             0.880361
non-thermophilic protein             0.375254             0.624746
non-thermophilic protein             0.0259072             0.974093
thermophilic protein                   0.869076             0.130924 
non-thermophilic protein             0.0488249             0.951175
non-thermophilic protein             0.165809             0.834191
non-thermophilic protein             0.0747292             0.925271
non-thermophilic protein             0.353231             0.646769
non-thermophilic protein             0.0209665             0.979033
thermophilic protein                   0.938557             0.0614425
non-thermophilic protein             0.00266332             0.997337
non-thermophilic protein             0.012064             0.987936
thermophilic protein                   0.838601             0.161399
non-thermophilic protein             0.0841584             0.915842
non-thermophilic protein             0.0251943             0.974806
non-thermophilic protein             0.0356213             0.964379
thermophilic protein                   0.679188             0.320812
non-thermophilic protein             0.0675927             0.932407
non-thermophilic protein             0.00862302             0.991377
non-thermophilic protein             0.134626             0.865374
non-thermophilic protein             0.00527289             0.994727
non-thermophilic protein             0.0385451             0.961455
non-thermophilic protein             3.04468e-006             0.999997
non-thermophilic protein             8.41527e-006             0.999992
non-thermophilic protein             0.209114             0.790886
non-thermophilic protein             0.107233             0.892767
non-thermophilic protein             0.141608             0.858392
thermophilic protein                   0.763879             0.236121
thermophilic protein                   0.765613             0.234387
non-thermophilic protein             4.37756e-007             1
thermophilic protein                   0.976265             0.0237355
non-thermophilic protein             1.08054e-005             0.999989
non-thermophilic protein             0.0302395             0.96976
non-thermophilic protein             0.292118             0.707882
non-thermophilic protein             0.0127698             0.98723
non-thermophilic protein             0.149692             0.850308
thermophilic protein                   0.513392             0.486608
non-thermophilic protein             0.41742             0.58258
non-thermophilic protein             0.00713412             0.992866
non-thermophilic protein             0.15131             0.84869
non-thermophilic protein             0.278395             0.721605
non-thermophilic protein             9.71822e-006             0.99999
non-thermophilic protein             0.00729097             0.992709
non-thermophilic protein             0.00777393             0.992226
thermophilic protein                   0.654572             0.345428
thermophilic protein                   0.796336             0.203664
thermophilic protein                   0.783411             0.216589
non-thermophilic protein             0.0393055             0.960695
non-thermophilic protein             0.0886159             0.911384
non-thermophilic protein             0.302812             0.697188
non-thermophilic protein             0.271811             0.728189
thermophilic protein                   0.983858             0.0161421
non-thermophilic protein             7.49312e-006             0.999993
non-thermophilic protein             0.00774412             0.992256
non-thermophilic protein             0.149806             0.850194
non-thermophilic protein             0.00983654             0.990163
thermophilic protein                   0.538921             0.461079
non-thermophilic protein             5.79691e-006             0.999994
non-thermophilic protein             0.011735             0.988265
thermophilic protein                   0.763578             0.236422
non-thermophilic protein             0.00291027             0.99709
thermophilic protein                   0.700009             0.299991
thermophilic protein                   0.882963             0.117037
non-thermophilic protein             0.00397469             0.996025
non-thermophilic protein             0.0283898             0.97161
non-thermophilic protein             0.0672464             0.932754
non-thermophilic protein             0.0591728             0.940827
thermophilic protein                   0.982253             0.0177472
non-thermophilic protein             0.157078             0.842922
thermophilic protein                   0.631591             0.368409
non-thermophilic protein             0.176576             0.823424 
non-thermophilic protein             0.244616             0.755384
non-thermophilic protein             8.98346e-006             0.999991
non-thermophilic protein             0.0131387             0.986861
non-thermophilic protein             0.0198368             0.980163
non-thermophilic protein             5.53952e-006             0.999994
non-thermophilic protein             0.00592421             0.994076
non-thermophilic protein             0.0563348             0.943665
non-thermophilic protein             5.70572e-006             0.999994
non-thermophilic protein             0.103342             0.896658
non-thermophilic protein             0.0790313             0.920969
non-thermophilic protein             1.44304e-006             0.999999
non-thermophilic protein             0.0121356             0.987864
thermophilic protein                   0.907551             0.0924488
non-thermophilic protein             0.0150044             0.984996
non-thermophilic protein             0.0154704             0.98453
non-thermophilic protein             0.0039987             0.996001
non-thermophilic protein             0.0712374             0.928763
thermophilic protein                   0.98387             0.0161302
non-thermophilic protein             0.0129896             0.98701
non-thermophilic protein             0.00937106             0.990629
non-thermophilic protein             0.00761812             0.992382
non-thermophilic protein             0.00372199             0.996278
non-thermophilic protein             1.40757e-007             1
non-thermophilic protein             0.192605             0.807395
non-thermophilic protein             0.280802             0.719198
non-thermophilic protein             6.5178e-008             1
non-thermophilic protein             0.0107524             0.989248
non-thermophilic protein             1.04926e-006             0.999999
non-thermophilic protein             0.0078714             0.992129
non-thermophilic protein             0.0598719             0.940128
thermophilic protein                   0.975712             0.024288
non-thermophilic protein             0.140447             0.859553
non-thermophilic protein             0.0863477             0.913652
non-thermophilic protein             0.328354             0.671646
non-thermophilic protein             0.35179             0.64821
non-thermophilic protein             1.24335e-007             1
non-thermophilic protein             0.0702156             0.929784
non-thermophilic protein             0.033467             0.966533
non-thermophilic protein             0.0168594             0.983141
non-thermophilic protein             7.15763e-006             0.999993
non-thermophilic protein             0.0961463             0.903854
non-thermophilic protein             0.494659             0.505341
non-thermophilic protein             0.124625             0.875375
non-thermophilic protein             0.0066677             0.993332
thermophilic protein                   0.835335             0.164665
non-thermophilic protein             0.00615676             0.993843
thermophilic protein                   0.986764             0.0132358
non-thermophilic protein             0.419779             0.580221
non-thermophilic protein             0.121061             0.878939
non-thermophilic protein             0.110031             0.889969
non-thermophilic protein             0.0229177             0.977082
non-thermophilic protein             0.0530816             0.946918
non-thermophilic protein             0.0405133             0.959487
non-thermophilic protein             1.25034e-005             0.999987
thermophilic protein                   0.810105             0.189895
non-thermophilic protein             0.0367484             0.963252
thermophilic protein                   0.791905             0.208095
non-thermophilic protein             0.28207             0.71793
thermophilic protein                   0.753547             0.246453
non-thermophilic protein             0.00675844             0.993242
thermophilic protein                   0.934168             0.0658317
thermophilic protein                   0.999389             0.000610914
non-thermophilic protein             0.0399342             0.960066
thermophilic protein                   0.554625             0.445375
non-thermophilic protein             0.00385431             0.996146
non-thermophilic protein             0.0270774             0.972923
thermophilic protein                   0.613588             0.386412 
