                                                                     Probability
Types                                 thermophilic protein        non-thermophilic protein
thermophilic protein                   0.998304             0.0016961
non-thermophilic protein             0.229111             0.770889
thermophilic protein                   0.990095             0.00990454
thermophilic protein                   0.890713             0.109287
non-thermophilic protein             0.255495             0.744505
thermophilic protein                   0.916859             0.083141
thermophilic protein                   0.838943             0.161057
thermophilic protein                   0.99637             0.00363032
non-thermophilic protein             0.0170613             0.982939
thermophilic protein                   0.99406             0.00593991
thermophilic protein                   0.880297             0.119703
thermophilic protein                   0.970547             0.0294526
non-thermophilic protein             0.155199             0.844801
thermophilic protein                   0.831018             0.168982
non-thermophilic protein             0.00966707             0.990333
thermophilic protein                   0.888344             0.111656
thermophilic protein                   0.698667             0.301333
thermophilic protein                   0.895402             0.104598
non-thermophilic protein             0.0152015             0.984798
thermophilic protein                   0.973559             0.0264409
thermophilic protein                   0.804785             0.195215
thermophilic protein                   0.998265             0.00173518
thermophilic protein                   0.98135             0.0186503
thermophilic protein                   0.671592             0.328408
non-thermophilic protein             0.0520791             0.947921
non-thermophilic protein             0.352798             0.647202
thermophilic protein                   0.993781             0.00621894
thermophilic protein                   0.994611             0.00538869
thermophilic protein                   0.996488             0.00351184
thermophilic protein                   0.833688             0.166312
thermophilic protein                   0.927979             0.0720212
thermophilic protein                   0.967474             0.032526
thermophilic protein                   0.999704             0.000296428
thermophilic protein                   0.725178             0.274822
non-thermophilic protein             0.12349             0.87651
non-thermophilic protein             0.116002             0.883998
thermophilic protein                   0.804076             0.195924
thermophilic protein                   0.999507             0.000492572
non-thermophilic protein             0.123355             0.876645
thermophilic protein                   0.998577             0.00142251
thermophilic protein                   0.997343             0.00265661
thermophilic protein                   0.999087             0.000912732
thermophilic protein                   0.947615             0.0523854
thermophilic protein                   0.862014             0.137986
non-thermophilic protein             0.272786             0.727214
thermophilic protein                   0.997373             0.00262696
non-thermophilic protein             0.465669             0.534331
thermophilic protein                   0.886781             0.113219
non-thermophilic protein             0.02867             0.97133
thermophilic protein                   0.982029             0.0179708
non-thermophilic protein             0.0666656             0.933334
thermophilic protein                   0.704411             0.295589
thermophilic protein                   0.618362             0.381638
thermophilic protein                   0.999729             0.000270604
thermophilic protein                   0.857697             0.142303
non-thermophilic protein             0.271086             0.728914
thermophilic protein                   0.56798             0.43202
thermophilic protein                   0.657178             0.342822
thermophilic protein                   0.998409             0.00159134
thermophilic protein                   0.849877             0.150123
non-thermophilic protein             0.400971             0.599029
thermophilic protein                   0.5             0.5
thermophilic protein                   0.98637             0.0136295
non-thermophilic protein             0.275719             0.724281
thermophilic protein                   0.5             0.5
thermophilic protein                   0.998467             0.00153282
thermophilic protein                   0.621945             0.378055
thermophilic protein                   0.521223             0.478777
thermophilic protein                   0.512218             0.487782
non-thermophilic protein             0.0677264             0.932274
non-thermophilic protein             0.0113993             0.988601
non-thermophilic protein             0.45178             0.54822
thermophilic protein                   0.998155             0.00184502
thermophilic protein                   0.997262             0.00273841
thermophilic protein                   0.810094             0.189906
thermophilic protein                   0.998972             0.00102766
thermophilic protein                   0.99861             0.00139017
thermophilic protein                   0.946857             0.0531429
thermophilic protein                   0.660736             0.339264
thermophilic protein                   0.996577             0.00342301
thermophilic protein                   0.647195             0.352805
thermophilic protein                   0.997528             0.00247209
thermophilic protein                   0.637052             0.362948
thermophilic protein                   0.999047             0.000952767
thermophilic protein                   0.993754             0.00624635
non-thermophilic protein             0.0549616             0.945038
non-thermophilic protein             0.2988             0.7012
thermophilic protein                   0.593025             0.406975
thermophilic protein                   0.619518             0.380482
thermophilic protein                   0.957142             0.0428578
thermophilic protein                   0.773683             0.226317
thermophilic protein                   0.996851             0.00314921
thermophilic protein                   0.991474             0.0085259
thermophilic protein                   0.990004             0.0099955
thermophilic protein                   0.788641             0.211359
thermophilic protein                   0.988256             0.0117444
non-thermophilic protein             0.0592063             0.940794
thermophilic protein                   0.904962             0.0950377
non-thermophilic protein             0.216378             0.783622
thermophilic protein                   0.998876             0.00112405
thermophilic protein                   0.962382             0.0376183
thermophilic protein                   0.991592             0.00840785
thermophilic protein                   0.602947             0.397053
thermophilic protein                   0.995873             0.00412691
non-thermophilic protein             0.481983             0.518017
non-thermophilic protein             0.15427             0.84573
thermophilic protein                   0.988316             0.0116842
thermophilic protein                   0.927338             0.0726622
thermophilic protein                   0.957788             0.0422116
non-thermophilic protein             0.252425             0.747575
thermophilic protein                   0.985527             0.0144732
non-thermophilic protein             0.305429             0.694571
thermophilic protein                   0.999654             0.000345924
thermophilic protein                   0.999296             0.000704409
thermophilic protein                   0.883252             0.116748
non-thermophilic protein             0.0527348             0.947265
thermophilic protein                   0.995104             0.00489628
thermophilic protein                   0.991393             0.00860687
thermophilic protein                   0.983637             0.016363
non-thermophilic protein             0.0831196             0.91688
thermophilic protein                   0.813101             0.186899
thermophilic protein                   0.995921             0.00407859
thermophilic protein                   0.994696             0.00530449
thermophilic protein                   0.98275             0.0172502
non-thermophilic protein             0.0740587             0.925941
thermophilic protein                   0.995575             0.0044246
thermophilic protein                   0.921011             0.0789892
thermophilic protein                   0.548653             0.451347
thermophilic protein                   0.815579             0.184421
non-thermophilic protein             0.225452             0.774548
non-thermophilic protein             0.313793             0.686207
thermophilic protein                   0.999854             0.000146262
thermophilic protein                   0.933546             0.0664537
thermophilic protein                   0.635183             0.364817
non-thermophilic protein             0.0115773             0.988423
thermophilic protein                   0.855729             0.144271
thermophilic protein                   0.90022             0.0997797
thermophilic protein                   0.99989             0.000110259
thermophilic protein                   0.994594             0.00540575
thermophilic protein                   0.999204             0.000796455
thermophilic protein                   0.610072             0.389928
thermophilic protein                   0.767665             0.232335
thermophilic protein                   0.531482             0.468518
non-thermophilic protein             0.00951145             0.990489
non-thermophilic protein             0.12112             0.87888
thermophilic protein                   0.996093             0.00390652
thermophilic protein                   0.996913             0.00308724
thermophilic protein                   0.73397             0.26603
thermophilic protein                   0.945955             0.054045
thermophilic protein                   0.927306             0.0726936
thermophilic protein                   0.640712             0.359288
non-thermophilic protein             0.0254275             0.974573
thermophilic protein                   0.849753             0.150247
thermophilic protein                   0.997791             0.00220878
thermophilic protein                   0.998888             0.0011119
thermophilic protein                   0.744114             0.255886
non-thermophilic protein             0.038492             0.961508
thermophilic protein                   0.992354             0.00764628
thermophilic protein                   0.952867             0.0471326
non-thermophilic protein             0.209523             0.790477
non-thermophilic protein             0.00919753             0.990802
thermophilic protein                   0.831518             0.168482
non-thermophilic protein             0.227521             0.772479
non-thermophilic protein             0.066841             0.933159
thermophilic protein                   0.963716             0.0362837
thermophilic protein                   0.5             0.5
thermophilic protein                   0.615336             0.384664
thermophilic protein                   0.73281             0.26719
thermophilic protein                   0.97736             0.0226401
non-thermophilic protein             0.213617             0.786383
thermophilic protein                   0.813731             0.186269
thermophilic protein                   0.768457             0.231543
thermophilic protein                   0.993281             0.00671904
thermophilic protein                   0.514242             0.485758
thermophilic protein                   0.914513             0.0854871
non-thermophilic protein             0.0407546             0.959245
thermophilic protein                   0.62415             0.37585
thermophilic protein                   0.982366             0.0176336
thermophilic protein                   0.992565             0.00743537
non-thermophilic protein             0.00417542             0.995825
thermophilic protein                   0.923871             0.0761287
non-thermophilic protein             0.326436             0.673564
thermophilic protein                   0.939315             0.0606851
thermophilic protein                   0.804481             0.195519
thermophilic protein                   0.84951             0.15049
thermophilic protein                   0.963243             0.0367572
thermophilic protein                   0.998733             0.00126732
thermophilic protein                   0.989813             0.010187
thermophilic protein                   0.636468             0.363532
thermophilic protein                   0.5             0.5
non-thermophilic protein             0.0239595             0.976041
thermophilic protein                   0.951483             0.0485172
thermophilic protein                   0.611076             0.388924
thermophilic protein                   0.656671             0.343329
non-thermophilic protein             0.242834             0.757166
non-thermophilic protein             0.00703774             0.992962
thermophilic protein                   0.941158             0.058842
thermophilic protein                   0.881614             0.118386
thermophilic protein                   0.993935             0.00606534
thermophilic protein                   0.738513             0.261487
thermophilic protein                   0.797455             0.202545
thermophilic protein                   0.864867             0.135133
non-thermophilic protein             0.0880129             0.911987
thermophilic protein                   0.999614             0.000385974
thermophilic protein                   0.906016             0.0939842
non-thermophilic protein             0.0716612             0.928339
thermophilic protein                   0.944636             0.0553636
thermophilic protein                   0.966632             0.0333679
thermophilic protein                   0.780788             0.219212
non-thermophilic protein             0.323033             0.676967
thermophilic protein                   0.930524             0.0694763
thermophilic protein                   0.953026             0.0469738
thermophilic protein                   0.875274             0.124726
thermophilic protein                   0.899097             0.100903
thermophilic protein                   0.999164             0.000835534
thermophilic protein                   0.825626             0.174374
thermophilic protein                   0.999048             0.000951629
thermophilic protein                   0.838921             0.161079
thermophilic protein                   0.798231             0.201769
thermophilic protein                   0.767238             0.232762
thermophilic protein                   0.991431             0.00856914
thermophilic protein                   0.943444             0.0565561 
non-thermophilic protein             0.375336             0.624664
thermophilic protein                   0.655388             0.344612
thermophilic protein                   0.907601             0.0923991
non-thermophilic protein             0.00837273             0.991627
thermophilic protein                   0.952928             0.0470717
thermophilic protein                   0.963399             0.0366007
non-thermophilic protein             0.437765             0.562235
thermophilic protein                   0.939336             0.0606639
thermophilic protein                   0.998714             0.00128559
thermophilic protein                   0.998442             0.0015581
thermophilic protein                   0.95951             0.0404904
thermophilic protein                   0.937173             0.0628273
thermophilic protein                   0.991036             0.00896413
non-thermophilic protein             0.322086             0.677914
thermophilic protein                   0.997583             0.00241682
non-thermophilic protein             0.153163             0.846837
thermophilic protein                   0.708341             0.291659
thermophilic protein                   0.97577             0.0242299
thermophilic protein                   0.90439             0.0956103
thermophilic protein                   0.974408             0.0255924
thermophilic protein                   0.586876             0.413124
thermophilic protein                   0.939712             0.060288
non-thermophilic protein             0.0116741             0.988326
thermophilic protein                   0.993855             0.00614486
thermophilic protein                   0.73354             0.26646
thermophilic protein                   0.998902             0.00109792
non-thermophilic protein             0.191173             0.808827
thermophilic protein                   0.999538             0.000461556
thermophilic protein                   0.819616             0.180384
thermophilic protein                   0.952117             0.0478835
thermophilic protein                   0.975083             0.0249166
non-thermophilic protein             0.267271             0.732729
non-thermophilic protein             0.0546798             0.94532
thermophilic protein                   0.623972             0.376028
non-thermophilic protein             0.0679018             0.932098
thermophilic protein                   0.607579             0.392421
thermophilic protein                   0.657013             0.342987
thermophilic protein                   0.935842             0.0641584
non-thermophilic protein             0.229198             0.770802
non-thermophilic protein             0.040279             0.959721
thermophilic protein                   0.831205             0.168795
thermophilic protein                   0.979171             0.0208292
thermophilic protein                   0.823689             0.176311
thermophilic protein                   0.84824             0.15176
non-thermophilic protein             0.00353911             0.996461
thermophilic protein                   0.655642             0.344358
thermophilic protein                   0.991778             0.00822227
thermophilic protein                   0.997992             0.00200849
thermophilic protein                   0.99507             0.00492981
thermophilic protein                   0.643667             0.356333
thermophilic protein                   0.974295             0.025705
thermophilic protein                   0.999111             0.000889399
thermophilic protein                   0.617789             0.382211
thermophilic protein                   0.899916             0.100084
thermophilic protein                   0.990835             0.00916473
non-thermophilic protein             0.41778             0.58222
thermophilic protein                   0.996959             0.00304092
thermophilic protein                   0.995842             0.0041576
thermophilic protein                   0.897541             0.102459
non-thermophilic protein             0.464117             0.535883
thermophilic protein                   0.994592             0.0054076
thermophilic protein                   0.997337             0.00266327
non-thermophilic protein             0.420101             0.579899
thermophilic protein                   0.997613             0.00238718
non-thermophilic protein             0.0294544             0.970546
thermophilic protein                   0.921578             0.078422
non-thermophilic protein             0.0633461             0.936654 
non-thermophilic protein             0.19622             0.80378
thermophilic protein                   0.865718             0.134282
thermophilic protein                   0.93131             0.0686895
non-thermophilic protein             0.272416             0.727584
thermophilic protein                   0.798895             0.201105
thermophilic protein                   0.976117             0.0238831
thermophilic protein                   0.980399             0.019601
thermophilic protein                   0.970817             0.0291834
thermophilic protein                   0.963997             0.0360028
thermophilic protein                   0.990144             0.00985567
non-thermophilic protein             0.286812             0.713188
thermophilic protein                   0.998938             0.00106247
non-thermophilic protein             0.0492777             0.950722
non-thermophilic protein             0.0379852             0.962015
non-thermophilic protein             0.272834             0.727166
non-thermophilic protein             0.0384797             0.96152
thermophilic protein                   0.993007             0.00699266
thermophilic protein                   0.90622             0.0937796
non-thermophilic protein             0.0319621             0.968038
non-thermophilic protein             0.318684             0.681316
thermophilic protein                   0.751706             0.248294
non-thermophilic protein             0.358517             0.641483
thermophilic protein                   0.619303             0.380697
non-thermophilic protein             0.479262             0.520738
thermophilic protein                   0.998631             0.00136925
thermophilic protein                   0.965439             0.0345611
non-thermophilic protein             0.0755534             0.924447
thermophilic protein                   0.989324             0.0106759
thermophilic protein                   0.949197             0.0508028
non-thermophilic protein             0.352968             0.647032
thermophilic protein                   0.996662             0.00333831
non-thermophilic protein             0.0158508             0.984149
thermophilic protein                   0.691648             0.308352
non-thermophilic protein             0.084772             0.915228
thermophilic protein                   0.996038             0.0039615
thermophilic protein                   0.940331             0.0596693
non-thermophilic protein             0.0118156             0.988184
thermophilic protein                   0.961731             0.0382693
thermophilic protein                   0.938941             0.0610592
thermophilic protein                   0.95731             0.04269
thermophilic protein                   0.989577             0.0104229
non-thermophilic protein             0.140445             0.859555
thermophilic protein                   0.715181             0.284819
non-thermophilic protein             0.209401             0.790599
thermophilic protein                   0.684874             0.315126
thermophilic protein                   0.846544             0.153456
thermophilic protein                   0.871432             0.128568
thermophilic protein                   0.529299             0.470701
thermophilic protein                   0.793909             0.206091
non-thermophilic protein             0.476639             0.523361
non-thermophilic protein             0.101468             0.898532
thermophilic protein                   0.984303             0.0156971
thermophilic protein                   0.968909             0.0310906
thermophilic protein                   0.74132             0.25868
thermophilic protein                   0.716011             0.283989
non-thermophilic protein             0.398761             0.601239
non-thermophilic protein             0.477829             0.522171
thermophilic protein                   0.98686             0.0131403
thermophilic protein                   0.997326             0.00267387
thermophilic protein                   0.961852             0.0381477
thermophilic protein                   0.99522             0.00478024
thermophilic protein                   0.935785             0.0642148
non-thermophilic protein             0.431275             0.568725
thermophilic protein                   0.997631             0.00236896
non-thermophilic protein             0.067286             0.932714
thermophilic protein                   0.987096             0.0129039
thermophilic protein                   0.99856             0.00143969
