@relation AAc_Train

@attribute A numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute K numeric
@attribute L numeric
@attribute M numeric
@attribute N numeric
@attribute P numeric
@attribute Q numeric
@attribute R numeric
@attribute S numeric
@attribute T numeric
@attribute V numeric
@attribute W numeric
@attribute Y numeric
@attribute Label {thermo,meso}

@data
0.117647,0.013575,0.067873,0.067873,0.022624,0.095023,0.027149,0.045249,0.063348,0.072398,0.0181,0.0181,0.036199,0.040724,0.045249,0.054299,0.040724,0.104072,0.0181,0.031674,thermo
0.048387,0,0.032258,0.145161,0.037634,0.016129,0.016129,0.043011,0.123656,0.11828,0.021505,0.037634,0.026882,0.096774,0.080645,0.043011,0.048387,0.048387,0.005376,0.010753,thermo
0.069652,0.004975,0.059701,0.119403,0.064677,0.089552,0.00995,0.059701,0.039801,0.114428,0.00995,0.024876,0.069652,0.024876,0.079602,0.044776,0.034826,0.054726,0.004975,0.0199,thermo
0.048536,0.009205,0.066946,0.074477,0.029289,0.081172,0.024268,0.076151,0.054393,0.080335,0.027615,0.039331,0.051883,0.029289,0.080335,0.067782,0.042678,0.07364,0.004184,0.038494,thermo
0.073713,0,0.061196,0.023644,0.048679,0.097357,0.01669,0.048679,0.047288,0.073713,0.01669,0.087622,0.037552,0.036161,0.023644,0.072323,0.093185,0.06815,0.020862,0.052851,thermo
0.071823,0.033149,0.033149,0.121547,0.038674,0.088398,0.027624,0.038674,0.038674,0.099448,0.016575,0.005525,0.060773,0.038674,0.060773,0.027624,0.060773,0.088398,0.01105,0.038674,thermo
0.038732,0.003521,0.052817,0.098592,0.059859,0.052817,0.019366,0.103873,0.112676,0.066901,0.015845,0.059859,0.03169,0.012324,0.038732,0.068662,0.033451,0.088028,0,0.042254,thermo
0.044379,0.005917,0.065089,0.056213,0.032544,0.088757,0.014793,0.159763,0.08284,0.091716,0.029586,0.085799,0.017751,0.002959,0.04142,0.071006,0.029586,0.035503,0,0.044379,thermo
0.067376,0,0.046099,0.074468,0.014184,0.106383,0.007092,0.085106,0.102837,0.078014,0.039007,0.021277,0.042553,0.01773,0.106383,0.046099,0.028369,0.078014,0.007092,0.031915,thermo
0.043651,0.003968,0.035714,0.079365,0.043651,0.055556,0.019841,0.103175,0.059524,0.103175,0.011905,0.055556,0.039683,0.027778,0.071429,0.083333,0.035714,0.063492,0.003968,0.059524,thermo
0.044693,0.005587,0.078212,0.134078,0.027933,0.027933,0.005587,0.094972,0.078212,0.122905,0.011173,0.03352,0.022346,0.050279,0.061453,0.044693,0.072626,0.061453,0,0.022346,thermo
0.080357,0,0.044643,0.089286,0.053571,0.089286,0.017857,0.008929,0.044643,0.178571,0.008929,0.008929,0.044643,0.017857,0.133929,0.017857,0.026786,0.098214,0.017857,0.017857,thermo
0.043011,0.007168,0.082437,0.053763,0.028674,0.053763,0.032258,0.075269,0.071685,0.089606,0.032258,0.060932,0.028674,0.060932,0.039427,0.043011,0.050179,0.060932,0.032258,0.053763,thermo
0.091864,0,0.077428,0.032808,0.030184,0.068241,0.003937,0.047244,0.07874,0.080052,0.007874,0.082677,0.020997,0.024934,0.018373,0.049869,0.094488,0.125984,0.005249,0.059055,thermo
0.062954,0,0.048426,0.104116,0.021792,0.077482,0.002421,0.113801,0.089588,0.087167,0.016949,0.053269,0.03632,0.033898,0.048426,0.046005,0.043584,0.087167,0.004843,0.021792,thermo
0.040909,0.022727,0.081818,0.1,0.027273,0.068182,0.009091,0.077273,0.104545,0.090909,0.013636,0.027273,0.045455,0.027273,0.068182,0.018182,0.040909,0.095455,0.004545,0.036364,thermo
0.072222,0,0.055556,0.083333,0.038889,0.066667,0,0.061111,0.116667,0.138889,0.016667,0.044444,0.027778,0.027778,0.027778,0.077778,0.016667,0.083333,0,0.044444,thermo
0.032,0,0.072,0.064,0.044,0.06,0.008,0.132,0.072,0.088,0.052,0.084,0.012,0.012,0.06,0.096,0.028,0.044,0,0.04,thermo
0.058655,0.008584,0.061516,0.095851,0.035765,0.052933,0.012876,0.071531,0.133047,0.067239,0.012876,0.037196,0.031474,0.034335,0.048641,0.074392,0.050072,0.071531,0.007153,0.034335,thermo
0.057143,0.042857,0.042857,0.078571,0.042857,0.05,0.042857,0.071429,0.078571,0.028571,0.035714,0.042857,0.035714,0.014286,0.178571,0.042857,0.042857,0.028571,0.014286,0.028571,thermo
0.032653,0.016327,0.061224,0.081633,0.085714,0.028571,0.016327,0.118367,0.138776,0.065306,0.028571,0.073469,0.020408,0.004082,0.032653,0.089796,0.028571,0.032653,0,0.044898,thermo
0.04185,0.002203,0.051762,0.046256,0.064978,0.048458,0.007709,0.102423,0.087004,0.088106,0.018722,0.060573,0.042952,0.031938,0.034141,0.05837,0.044053,0.088106,0.008811,0.071586,thermo
0.079019,0.00545,0.046322,0.092643,0.038147,0.079019,0.010899,0.076294,0.06267,0.103542,0.032698,0.046322,0.024523,0.032698,0.06812,0.057221,0.038147,0.065395,0.00545,0.035422,thermo
0.076471,0.011765,0.070588,0.088235,0.038235,0.052941,0.029412,0.091176,0.058824,0.073529,0.029412,0.029412,0.029412,0.020588,0.079412,0.067647,0.041176,0.058824,0.005882,0.047059,thermo
0.081712,0,0.058366,0.058366,0.031128,0.085603,0.019455,0.140078,0.070039,0.105058,0.011673,0.042802,0.027237,0.011673,0.038911,0.070039,0.038911,0.07393,0,0.035019,thermo
0.023256,0.005814,0.046512,0.069767,0.046512,0.063953,0.005814,0.133721,0.075581,0.087209,0.017442,0.069767,0.034884,0.011628,0.069767,0.05814,0.046512,0.081395,0.011628,0.040698,thermo
0.094463,0.006515,0.052117,0.081433,0.04886,0.084691,0,0.084691,0.081433,0.04886,0.032573,0.029316,0.032573,0.022801,0.045603,0.052117,0.026059,0.09772,0.003257,0.074919,thermo
0.038278,0.002392,0.059809,0.086124,0.035885,0.052632,0.021531,0.100478,0.083732,0.124402,0.016746,0.047847,0.026316,0.026316,0.057416,0.062201,0.057416,0.064593,0,0.035885,thermo
0.12242,0.004982,0.054804,0.082562,0.033452,0.08968,0.011388,0.032028,0.024199,0.130249,0.007117,0.022776,0.064769,0.039858,0.087544,0.033452,0.046263,0.074733,0.013523,0.024199,thermo
0.112469,0.01467,0.041565,0.095355,0.02445,0.100244,0.02445,0.051345,0.03423,0.07824,0.026895,0.01467,0.051345,0.03912,0.066015,0.03912,0.05379,0.100244,0.01467,0.017115,thermo
0.054167,0.016667,0.05,0.091667,0.05,0.05,0.0125,0.029167,0.054167,0.129167,0.020833,0.045833,0.05,0.05,0.075,0.058333,0.041667,0.083333,0.008333,0.029167,thermo
0.072222,0,0.088889,0.116667,0.038889,0.061111,0.038889,0.072222,0.066667,0.077778,0.011111,0.027778,0.033333,0.022222,0.05,0.022222,0.055556,0.094444,0.016667,0.033333,thermo
0.086957,0,0.055336,0.039526,0.043478,0.063241,0.023715,0.086957,0.067194,0.079051,0.011858,0.075099,0.055336,0.055336,0.039526,0.035573,0.039526,0.063241,0.007905,0.071146,thermo
0.06,0.002222,0.072222,0.051111,0.045556,0.071111,0.014444,0.076667,0.058889,0.054444,0.022222,0.067778,0.046667,0.02,0.044444,0.083333,0.064444,0.056667,0.036667,0.051111,thermo
0.070552,0,0.055215,0.067485,0.033742,0.122699,0.006135,0.082822,0.042945,0.092025,0.018405,0.03681,0.052147,0.03681,0.052147,0.055215,0.04908,0.09816,0.009202,0.018405,thermo
0.0375,0.0175,0.05,0.0875,0.0225,0.1525,0.0125,0.1125,0.0625,0.0625,0.0325,0.055,0.0375,0.02,0.0425,0.0575,0.0325,0.06,0.01,0.035,thermo
0.050562,0,0.070225,0.05618,0.042135,0.050562,0.011236,0.08427,0.044944,0.109551,0.053371,0.053371,0.039326,0.022472,0.073034,0.073034,0.042135,0.047753,0.002809,0.073034,thermo
0.066667,0.022222,0.044444,0.122222,0.022222,0.055556,0.011111,0.066667,0.066667,0.133333,0.011111,0.033333,0.022222,0.066667,0.033333,0.055556,0.044444,0.055556,0.033333,0.033333,thermo
0.079812,0.004695,0.103286,0.046948,0.056338,0.079812,0.018779,0.112676,0.056338,0.056338,0.014085,0.037559,0.032864,0.018779,0.070423,0.046948,0.023474,0.084507,0,0.056338,thermo
0.063649,0.002829,0.065064,0.083451,0.033946,0.050919,0.009901,0.076379,0.104668,0.063649,0.015559,0.065064,0.028289,0.014144,0.041018,0.08628,0.059406,0.09901,0.002829,0.033946,thermo
0.05668,0.024291,0.048583,0.089069,0.032389,0.068826,0.020243,0.089069,0.012146,0.109312,0.024291,0.032389,0.072874,0.032389,0.064777,0.076923,0.05668,0.05668,0.004049,0.02834,thermo
0.091518,0,0.066964,0.055804,0.040179,0.073661,0.017857,0.075893,0.060268,0.100446,0.024554,0.033482,0.060268,0.029018,0.055804,0.053571,0.040179,0.075893,0.013393,0.03125,thermo
0.104,0,0.04,0.12,0.032,0.056,0.016,0.088,0.088,0.08,0.024,0.024,0.024,0.016,0.072,0.096,0.016,0.072,0,0.032,thermo
0.060714,0.003571,0.067857,0.089286,0.046429,0.078571,0.010714,0.114286,0.075,0.075,0.028571,0.025,0.025,0.017857,0.057143,0.057143,0.060714,0.071429,0.003571,0.032143,thermo
0.039683,0.006349,0.074603,0.055556,0.047619,0.050794,0.019048,0.088889,0.077778,0.080952,0.026984,0.090476,0.044444,0.007937,0.05873,0.068254,0.038095,0.042857,0.020635,0.060317,thermo
0.114458,0.006024,0.027108,0.10241,0.036145,0.081325,0.01506,0.024096,0.042169,0.159639,0.006024,0.027108,0.051205,0.021084,0.099398,0.039157,0.027108,0.069277,0.012048,0.039157,thermo
0.03012,0.003012,0.060241,0.096386,0.042169,0.036145,0.01506,0.087349,0.111446,0.141566,0.021084,0.045181,0.021084,0.021084,0.042169,0.090361,0.01506,0.060241,0.012048,0.048193,thermo
0.121739,0.001087,0.040217,0.101087,0.031522,0.088043,0.020652,0.006522,0.028261,0.161957,0.009783,0.013043,0.068478,0.028261,0.104348,0.033696,0.026087,0.075,0.019565,0.020652,thermo
0.175153,0.002037,0.01833,0.02444,0.057026,0.114053,0.00611,0.052953,0.020367,0.154786,0.038697,0.008147,0.04888,0.01833,0.032587,0.038697,0.040733,0.09165,0.016293,0.040733,thermo
0.08313,0.002445,0.066015,0.07335,0.036675,0.080685,0.01956,0.06846,0.04401,0.07335,0.036675,0.036675,0.036675,0.01467,0.070905,0.08802,0.04401,0.08802,0.002445,0.03423,thermo
0.088028,0.010563,0.038732,0.084507,0.042254,0.056338,0.024648,0.091549,0.073944,0.09507,0.021127,0.035211,0.03169,0.028169,0.035211,0.073944,0.059859,0.084507,0.010563,0.014085,thermo
0.087912,0.018315,0.054945,0.065934,0.021978,0.084249,0.014652,0.076923,0.058608,0.098901,0.03663,0.065934,0.021978,0.018315,0.025641,0.087912,0.065934,0.069597,0.003663,0.021978,thermo
0.050794,0.003175,0.063492,0.085714,0.044444,0.095238,0.04127,0.069841,0.053968,0.069841,0.025397,0.038095,0.066667,0.028571,0.063492,0.028571,0.047619,0.053968,0.034921,0.034921,thermo
0.05499,0.002037,0.05499,0.069246,0.040733,0.069246,0.028513,0.050916,0.03666,0.087576,0.016293,0.063136,0.059063,0.020367,0.075356,0.07332,0.034623,0.063136,0.03666,0.063136,thermo
0.104294,0,0.02045,0.02454,0.07362,0.07771,0.00818,0.128834,0.03681,0.120654,0.051125,0.02454,0.030675,0.006135,0.02454,0.07362,0.04908,0.07771,0.014315,0.05317,thermo
0.11236,0,0.05618,0.179775,0.033708,0.044944,0,0.022472,0.033708,0.202247,0.011236,0,0.101124,0.022472,0.089888,0.033708,0.011236,0.044944,0,0,thermo
0.077399,0.006192,0.071207,0.052632,0.04644,0.080495,0.03096,0.071207,0.037152,0.074303,0.034056,0.027864,0.04644,0.03096,0.080495,0.055728,0.043344,0.065015,0.006192,0.06192,thermo
0.086294,0,0.027919,0.015228,0.081218,0.087563,0.021574,0.091371,0.027919,0.121827,0.043147,0.031726,0.054569,0.015228,0.020305,0.060914,0.050761,0.087563,0.022843,0.05203,thermo
0.110526,0.002632,0.044737,0.078947,0.039474,0.094737,0.028947,0.034211,0.028947,0.123684,0.018421,0.010526,0.076316,0.021053,0.092105,0.05,0.036842,0.05,0.015789,0.042105,thermo
0.082474,0,0.054983,0.089347,0.020619,0.04811,0.020619,0.109966,0.082474,0.089347,0.013746,0.037801,0.051546,0.027491,0.051546,0.054983,0.04811,0.085911,0,0.030928,thermo
0.064572,0,0.045375,0.08377,0.036649,0.097731,0.034904,0.068063,0.055846,0.104712,0.026178,0.020942,0.064572,0.020942,0.080279,0.036649,0.04363,0.082024,0.006981,0.026178,thermo
0.043597,0.016349,0.059946,0.06812,0.054496,0.059946,0.021798,0.079019,0.119891,0.06812,0.021798,0.051771,0.035422,0.027248,0.019074,0.065395,0.040872,0.084469,0.002725,0.059946,thermo
0.106122,0,0.04898,0.126531,0.057143,0.020408,0.012245,0.118367,0.106122,0.102041,0.016327,0.032653,0.016327,0.028571,0.057143,0.061224,0.02449,0.044898,0.008163,0.012245,thermo
0.116773,0.010616,0.044586,0.080679,0.016985,0.10828,0.027601,0.076433,0.031847,0.082803,0.019108,0.03397,0.04034,0.029724,0.078556,0.029724,0.053079,0.084926,0.008493,0.025478,thermo
0.078493,0.00157,0.062794,0.051805,0.065934,0.061224,0.020408,0.125589,0.058085,0.100471,0.031397,0.031397,0.042386,0.018838,0.051805,0.065934,0.029827,0.065934,0.006279,0.029827,thermo
0.125,0,0.032407,0.101852,0.041667,0.087963,0.027778,0.018519,0.018519,0.208333,0.009259,0.009259,0.037037,0.032407,0.092593,0.041667,0.027778,0.060185,0,0.027778,thermo
0.052632,0,0.052632,0.089474,0.057895,0.052632,0.010526,0.078947,0.078947,0.110526,0.021053,0.031579,0.031579,0.063158,0.052632,0.078947,0.026316,0.068421,0,0.042105,thermo
0.04797,0.02214,0.088561,0.066421,0.051661,0.059041,0.02583,0.073801,0.070111,0.099631,0.01845,0.0369,0.0369,0.02583,0.0369,0.081181,0.062731,0.062731,0.01107,0.02214,thermo
0.111111,0.005051,0.090909,0.045455,0.035354,0.106061,0.015152,0.015152,0.010101,0.121212,0.025253,0.020202,0.075758,0.040404,0.055556,0.035354,0.050505,0.09596,0.030303,0.015152,thermo
0.067813,0.009551,0.063037,0.077364,0.034384,0.075454,0.011461,0.111748,0.040115,0.067813,0.034384,0.034384,0.04107,0.020057,0.077364,0.075454,0.042025,0.075454,0.002865,0.038204,thermo
0.051447,0,0.016077,0.086817,0.041801,0.057878,0.006431,0.128617,0.080386,0.11254,0.006431,0.080386,0.054662,0.025723,0.022508,0.064309,0.051447,0.048232,0.003215,0.061093,thermo
0.040128,0.00321,0.038523,0.064205,0.035313,0.064205,0.011236,0.091493,0.085072,0.12199,0.022472,0.05297,0.049759,0.019262,0.027287,0.077047,0.043339,0.088283,0.008026,0.05618,thermo
0.10274,0.013699,0.061644,0.082192,0.034247,0.10274,0.013699,0.034247,0.047945,0.116438,0.020548,0.020548,0.034247,0.020548,0.116438,0.027397,0.047945,0.082192,0.013699,0.006849,thermo
0.082976,0.002861,0.064378,0.042918,0.034335,0.120172,0.020029,0.060086,0.048641,0.072961,0.017167,0.040057,0.052933,0.034335,0.028612,0.057225,0.061516,0.094421,0.015737,0.048641,thermo
0.15534,0,0.029126,0.131068,0.029126,0.048544,0.004854,0.048544,0.019417,0.067961,0.029126,0.053398,0.063107,0.029126,0.087379,0.038835,0.082524,0.063107,0.004854,0.014563,thermo
0.053012,0,0.089157,0.098795,0.048193,0.043373,0.014458,0.09759,0.059036,0.106024,0.03012,0.037349,0.025301,0.024096,0.057831,0.06747,0.046988,0.048193,0.010843,0.042169,thermo
0.065868,0.008982,0.056886,0.083832,0.04491,0.08982,0.020958,0.071856,0.077844,0.071856,0.020958,0.041916,0.041916,0.017964,0.05988,0.056886,0.053892,0.07485,0.005988,0.032934,thermo
0.036728,0.010017,0.048414,0.105175,0.041736,0.040067,0.011686,0.078464,0.106845,0.115192,0.018364,0.048414,0.045075,0.03172,0.056761,0.06177,0.025042,0.056761,0.005008,0.056761,thermo
0.057208,0.011442,0.050343,0.075515,0.057208,0.06865,0.022883,0.075515,0.073227,0.061785,0.020595,0.061785,0.05492,0.004577,0.057208,0.059497,0.06865,0.059497,0.004577,0.05492,thermo
0.064313,0.006305,0.059269,0.0971,0.02396,0.06053,0.013871,0.090794,0.092055,0.105927,0.017654,0.047919,0.030265,0.027743,0.056747,0.066835,0.051702,0.064313,0.001261,0.021438,thermo
0.090909,0,0.058824,0.080214,0.026738,0.053476,0.005348,0.064171,0.101604,0.128342,0.016043,0.032086,0.016043,0.02139,0.080214,0.053476,0.042781,0.101604,0,0.026738,thermo
0.073359,0.011583,0.057915,0.061776,0.042471,0.073359,0.011583,0.07722,0.046332,0.073359,0.023166,0.054054,0.03861,0.023166,0.042471,0.081081,0.065637,0.088803,0.015444,0.03861,thermo
0.049808,0.019157,0.038314,0.103448,0.049808,0.061303,0.011494,0.091954,0.068966,0.099617,0.003831,0.068966,0.022989,0.02682,0.042146,0.065134,0.042146,0.10728,0.003831,0.022989,thermo
0.069343,0.00365,0.040146,0.069343,0.062044,0.076642,0.021898,0.105839,0.062044,0.094891,0.021898,0.062044,0.043796,0.025547,0.025547,0.072993,0.047445,0.072993,0,0.021898,thermo
0.106796,0.019417,0.048544,0.067961,0.009709,0.087379,0.019417,0.07767,0.038835,0.106796,0.019417,0.029126,0.048544,0.019417,0.087379,0.097087,0.009709,0.07767,0,0.029126,thermo
0.043165,0.017986,0.046763,0.086331,0.035971,0.046763,0.017986,0.129496,0.097122,0.05036,0.02518,0.039568,0.02518,0.035971,0.061151,0.07554,0.07554,0.07554,0,0.014388,thermo
0.03125,0.015625,0.046875,0.054688,0.03125,0.085938,0.015625,0.078125,0.125,0.070313,0.007813,0.046875,0.039063,0.023438,0.125,0.023438,0.078125,0.070313,0,0.03125,thermo
0.101887,0.010377,0.067925,0.077358,0.038679,0.066038,0.024528,0.032075,0.030189,0.09434,0.017925,0.020755,0.058491,0.031132,0.072642,0.050943,0.056604,0.089623,0.030189,0.028302,thermo
0.020979,0.017483,0.048951,0.055944,0.048951,0.038462,0.034965,0.073427,0.090909,0.132867,0.024476,0.041958,0.031469,0.038462,0.066434,0.083916,0.048951,0.066434,0,0.034965,thermo
0.070539,0.012448,0.045643,0.058091,0.029046,0.074689,0.041494,0.074689,0.045643,0.062241,0.020747,0.045643,0.045643,0.049793,0.058091,0.049793,0.087137,0.082988,0.020747,0.024896,thermo
0.060086,0.012876,0.042918,0.06867,0.034335,0.077253,0.034335,0.081545,0.060086,0.081545,0.04721,0.034335,0.055794,0.021459,0.034335,0.077253,0.072961,0.077253,0.008584,0.017167,thermo
0.117647,0,0.014706,0.117647,0,0.044118,0.014706,0.088235,0.117647,0.102941,0.014706,0.058824,0.029412,0.014706,0.073529,0.029412,0.044118,0.073529,0,0.044118,thermo
0.089286,0.004464,0.035714,0.035714,0.080357,0.080357,0.040179,0.071429,0.03125,0.120536,0.058036,0.022321,0.049107,0.03125,0.035714,0.022321,0.040179,0.089286,0.026786,0.035714,thermo
0.03367,0.010101,0.070707,0.080808,0.047138,0.06734,0.026936,0.06734,0.090909,0.097643,0.006734,0.016835,0.047138,0.023569,0.043771,0.050505,0.037037,0.114478,0.013468,0.053872,thermo
0.086957,0,0.054348,0.086957,0.032609,0.059783,0.016304,0.070652,0.092391,0.092391,0.01087,0.038043,0.027174,0.021739,0.070652,0.086957,0.027174,0.097826,0,0.027174,thermo
0.129032,0.001344,0.033602,0.129032,0.020161,0.068548,0.012097,0.020161,0.051075,0.173387,0.014785,0.012097,0.060484,0.026882,0.108871,0.034946,0.026882,0.060484,0.001344,0.014785,thermo
0.072961,0.004292,0.042918,0.072961,0.042918,0.103004,0.012876,0.077253,0.064378,0.120172,0.008584,0.025751,0.042918,0.021459,0.064378,0.038627,0.055794,0.098712,0.004292,0.025751,thermo
0.025641,0,0.025641,0.153846,0.051282,0.038462,0.012821,0.076923,0.141026,0.064103,0.038462,0.012821,0.051282,0.038462,0.076923,0.051282,0.025641,0.089744,0,0.025641,thermo
0.066914,0.011152,0.055762,0.05948,0.037175,0.055762,0.026022,0.115242,0.033457,0.063197,0.026022,0.052045,0.04461,0.02974,0.04461,0.111524,0.02974,0.078067,0.003717,0.055762,thermo
0.064885,0.015267,0.041985,0.072519,0.083969,0.091603,0.015267,0.068702,0.076336,0.080153,0.038168,0.041985,0.022901,0.034351,0.045802,0.072519,0.034351,0.045802,0,0.053435,thermo
0.133588,0.022901,0.061069,0.076336,0.026718,0.049618,0.007634,0.064885,0.057252,0.110687,0.041985,0.053435,0.045802,0.041985,0.045802,0.030534,0.053435,0.061069,0.007634,0.007634,thermo
0.039716,0.009929,0.078014,0.055319,0.059574,0.062411,0.02695,0.08227,0.06383,0.066667,0.032624,0.092199,0.04539,0.005674,0.038298,0.058156,0.036879,0.052482,0.019858,0.073759,thermo
0.114583,0,0.020833,0.041667,0.010417,0.166667,0.010417,0.052083,0.010417,0.166667,0.083333,0.03125,0.03125,0.020833,0.020833,0.041667,0.0625,0.072917,0.010417,0.03125,thermo
0.079327,0.009615,0.055288,0.048077,0.048077,0.100962,0.03125,0.03125,0.028846,0.096154,0.019231,0.045673,0.045673,0.028846,0.067308,0.064904,0.060096,0.069712,0.024038,0.045673,thermo
0.065217,0.034783,0.043478,0.126087,0.030435,0.052174,0.013043,0.021739,0.056522,0.104348,0.026087,0.030435,0.082609,0.026087,0.091304,0.03913,0.017391,0.056522,0.034783,0.047826,thermo
0.043836,0.021918,0.079452,0.063014,0.052055,0.10411,0.021918,0.079452,0.082192,0.065753,0.010959,0.065753,0.035616,0.035616,0.065753,0.038356,0.054795,0.043836,0.008219,0.027397,thermo
0.071552,0.005661,0.064476,0.089322,0.037899,0.06133,0.026105,0.076113,0.069508,0.096399,0.025161,0.041044,0.03554,0.038056,0.052838,0.054254,0.051738,0.054726,0.006605,0.041673,thermo
0.047718,0.002075,0.06639,0.095436,0.047718,0.070539,0.037344,0.095436,0.056017,0.074689,0.026971,0.045643,0.039419,0.020747,0.053942,0.078838,0.029046,0.080913,0.002075,0.029046,thermo
0.074074,0.007407,0.08642,0.064198,0.064198,0.061728,0.012346,0.069136,0.066667,0.061728,0.02716,0.054321,0.019753,0.009877,0.064198,0.111111,0.032099,0.041975,0.009877,0.061728,thermo
0.104396,0,0.065934,0.115385,0.027473,0.032967,0.016484,0.054945,0.104396,0.104396,0.016484,0.038462,0.016484,0.016484,0.06044,0.076923,0.027473,0.098901,0,0.021978,thermo
0.189583,0,0.01875,0.029167,0.070833,0.110417,0.004167,0.047917,0.016667,0.129167,0.0375,0.014583,0.041667,0.0125,0.03125,0.066667,0.039583,0.095833,0.008333,0.035417,thermo
0.130952,0,0.059524,0.047619,0.035714,0.059524,0.011905,0.02381,0.107143,0.071429,0.011905,0.047619,0.02381,0.02381,0.202381,0.071429,0.02381,0.02381,0,0.02381,thermo
0.057828,0.00141,0.016925,0.026798,0.03244,0.080395,0.00141,0.104372,0.039492,0.080395,0.008463,0.094499,0.046544,0.023977,0.008463,0.094499,0.083216,0.091678,0.016925,0.090268,thermo
0.015625,0,0.03125,0.109375,0.03125,0.03125,0.039063,0.085938,0.109375,0.101563,0.03125,0.085938,0.023438,0.03125,0.03125,0.085938,0.054688,0.054688,0.015625,0.03125,thermo
0.036443,0.004373,0.05102,0.103499,0.075802,0.053936,0.024781,0.06414,0.08309,0.091837,0.017493,0.048105,0.043732,0.021866,0.033528,0.058309,0.033528,0.065598,0.024781,0.06414,thermo
0.065934,0.001832,0.071429,0.089744,0.032967,0.051282,0.014652,0.095238,0.07326,0.082418,0.029304,0.034799,0.029304,0.021978,0.067766,0.071429,0.042125,0.056777,0.007326,0.06044,thermo
